Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Edgington Wood,"£119,000",Freehold,over 7 acres,50.9774,-3.90814,"GPS coordinates: 50.9774, -3.90814",https://www.woodlands.co.uk/buying-a-wood/devon/edgington-wood,Taunton,51.019,-3.1,35.258,7.0,0.0283279949568
Woolstone Wood,"£79,000",Freehold,about 4 ⅔ acres,51.0506,-3.99862,"GPS coordinates: 51.0506, -3.99862",https://www.woodlands.co.uk/buying-a-wood/devon/woolstone-wood,Taunton,51.019,-3.1,39.105,4.666666666666667,0.0188853299712
Bickle Wood,"£45,000",Freehold,about 2 ½ acres,51.0488,-4.00142,"GPS coordinates: 51.0488, -4.00142",https://www.woodlands.co.uk/buying-a-wood/devon/bickle-wood,Taunton,51.019,-3.1,39.221,2.5,0.010117141056
Sampson Brake Wood,"£99,000",Freehold,nearly 6 acres,50.9503,-3.953,"GPS coordinates: 50.9503, -3.953",https://www.woodlands.co.uk/buying-a-wood/devon/sampson-brake-wood,Taunton,51.019,-3.1,37.405,6.0,0.0242811385344
Husk Wood,"£95,000",Freehold,about 4 acres,53.9976,-1.39407,"GPS coordinates: 53.9976, -1.39407",https://www.woodlands.co.uk/buying-a-wood/northern-england/husk-wood,Harrogate,53.9919,-1.5378,5.851,4.0,0.0161874256896
Kettle Copse,"£85,000",Freehold,over 4 acres,53.9993,-1.39168,"GPS coordinates: 53.9993, -1.39168",https://www.woodlands.co.uk/buying-a-wood/northern-england/kettle-copse,Harrogate,53.9919,-1.5378,5.957,4.0,0.0161874256896
Bosard Wood,"£85,000",Freehold,just over 4 acres,54.0023,-1.39093,"GPS coordinates: 54.0023, -1.39093",https://www.woodlands.co.uk/buying-a-wood/northern-england/bosard-wood,Harrogate,53.9919,-1.5378,6.008,4.0,0.0161874256896
Hootlet Wood,"£69,000",Freehold,over 3 ¾ acres,54.0051,-1.3925,"GPS coordinates: 54.0051, -1.3925",https://www.woodlands.co.uk/buying-a-wood/northern-england/hootlet-wood,Harrogate,53.9919,-1.5378,5.971,3.75,0.015175711584
Oak Grove Wood,"£135,000",Freehold,about 7 ½ acres,50.8326,-3.94017,"GPS coordinates: 50.8326, -3.94017",https://www.woodlands.co.uk/buying-a-wood/devon/oak-grove-wood,Paignton,50.4353,-3.5625,32.054,7.5,0.030351423168
Coulson Wood,"£65,000",Freehold,about 3 ¼ acres,50.8311,-3.93965,"GPS coordinates: 50.8311, -3.93965",https://www.woodlands.co.uk/buying-a-wood/devon/coulson-wood,Paignton,50.4353,-3.5625,31.954,3.25,0.0131522833728
